"filename", "language", "TypeScript", "TypeScript React", "JSON", "JSON with Comments", "CSS", "JavaScript", "Markdown", "HTML", "comment", "blank", "total"
"/Users/eliaswambugu/Documents/projects/dashboard/bettrdash/apps/desktop/src/api/constants.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"/Users/eliaswambugu/Documents/projects/dashboard/bettrdash/apps/desktop/src/api/index.ts", "TypeScript", 55, 0, 0, 0, 0, 0, 0, 0, 0, 11, 66
"/Users/eliaswambugu/Documents/projects/dashboard/bettrdash/apps/desktop/src/index.css", "CSS", 0, 0, 0, 0, 15, 0, 0, 0, 0, 4, 19
"/Users/eliaswambugu/Documents/projects/dashboard/bettrdash/apps/desktop/src/index.tsx", "TypeScript React", 0, 42, 0, 0, 0, 0, 0, 0, 6, 3, 51
"/Users/eliaswambugu/Documents/projects/dashboard/bettrdash/apps/desktop/src/react-app-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"/Users/eliaswambugu/Documents/projects/dashboard/bettrdash/apps/desktop/src/reportWebVitals.ts", "TypeScript", 13, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16
"/Users/eliaswambugu/Documents/projects/dashboard/bettrdash/apps/desktop/src/serviceWorker.ts", "TypeScript", 102, 0, 0, 0, 0, 0, 0, 0, 31, 14, 147
"/Users/eliaswambugu/Documents/projects/dashboard/bettrdash/apps/desktop/src/setupTests.ts", "TypeScript", 1, 0, 0, 0, 0, 0, 0, 0, 4, 1, 6
"/Users/eliaswambugu/Documents/projects/dashboard/bettrdash/apps/desktop/src/test-utils.tsx", "TypeScript React", 0, 9, 0, 0, 0, 0, 0, 0, 0, 4, 13
"/Users/eliaswambugu/Documents/projects/dashboard/bettrdash/apps/desktop/src/utils/history.ts", "TypeScript", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
"/Users/eliaswambugu/Documents/projects/dashboard/bettrdash/apps/desktop/src/utils/theme.ts", "TypeScript", 7, 0, 0, 0, 0, 0, 0, 0, 2, 4, 13
"/Users/eliaswambugu/Documents/projects/dashboard/bettrdash/apps/desktop/src/utils/types.d.ts", "TypeScript", 17, 0, 0, 0, 0, 0, 0, 0, 0, 2, 19
"/Users/eliaswambugu/Documents/projects/dashboard/bettrdash/apps/desktop/tsconfig.json", "JSON with Comments", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 5
"/Users/eliaswambugu/Documents/projects/dashboard/bettrdash/apps/monitor/package.json", "JSON", 0, 0, 29, 0, 0, 0, 0, 0, 0, 1, 30
"/Users/eliaswambugu/Documents/projects/dashboard/bettrdash/apps/monitor/src/env.d.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5
"/Users/eliaswambugu/Documents/projects/dashboard/bettrdash/apps/monitor/src/index.ts", "TypeScript", 85, 0, 0, 0, 0, 0, 0, 0, 2, 6, 93
