"filename", "language", "TypeScript", "JSON with Comments", "JSON", "TypeScript React", "HTML", "CSS", "Markdown", "JavaScript", "comment", "blank", "total"
"/Users/eliaswambugu/Documents/projects/dashboard/bettrdash-test/apps/desktop/src/Pages/Home.tsx", "TypeScript React", 0, 0, 0, 15, 0, 0, 0, 0, 0, 3, 18
"/Users/eliaswambugu/Documents/projects/dashboard/bettrdash-test/apps/desktop/src/Pages/Login.tsx", "TypeScript React", 0, 0, 0, 138, 0, 0, 0, 0, 0, 5, 143
"/Users/eliaswambugu/Documents/projects/dashboard/bettrdash-test/apps/desktop/src/Pages/Profile.tsx", "TypeScript React", 0, 0, 0, 219, 0, 0, 0, 0, 0, 3, 222
"/Users/eliaswambugu/Documents/projects/dashboard/bettrdash-test/apps/desktop/src/Pages/Project.tsx", "TypeScript React", 0, 0, 0, 315, 0, 0, 0, 0, 0, 18, 333
"/Users/eliaswambugu/Documents/projects/dashboard/bettrdash-test/apps/desktop/src/Pages/Projects.tsx", "TypeScript React", 0, 0, 0, 221, 0, 0, 0, 0, 3, 11, 235
"/Users/eliaswambugu/Documents/projects/dashboard/bettrdash-test/apps/desktop/src/Pages/Settings.tsx", "TypeScript React", 0, 0, 0, 192, 0, 0, 0, 0, 12, 14, 218
"/Users/eliaswambugu/Documents/projects/dashboard/bettrdash-test/apps/desktop/src/Pages/Signup.tsx", "TypeScript React", 0, 0, 0, 316, 0, 0, 0, 0, 0, 7, 323
"/Users/eliaswambugu/Documents/projects/dashboard/bettrdash-test/apps/desktop/src/api/constants.ts", "TypeScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/eliaswambugu/Documents/projects/dashboard/bettrdash-test/apps/desktop/src/api/index.ts", "TypeScript", 55, 0, 0, 0, 0, 0, 0, 0, 0, 11, 66
"/Users/eliaswambugu/Documents/projects/dashboard/bettrdash-test/apps/desktop/src/index.css", "CSS", 0, 0, 0, 0, 0, 15, 0, 0, 0, 4, 19
"/Users/eliaswambugu/Documents/projects/dashboard/bettrdash-test/apps/desktop/src/index.tsx", "TypeScript React", 0, 0, 0, 42, 0, 0, 0, 0, 6, 3, 51
"/Users/eliaswambugu/Documents/projects/dashboard/bettrdash-test/apps/desktop/src/react-app-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"/Users/eliaswambugu/Documents/projects/dashboard/bettrdash-test/apps/desktop/src/reportWebVitals.ts", "TypeScript", 13, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16
"/Users/eliaswambugu/Documents/projects/dashboard/bettrdash-test/apps/desktop/src/serviceWorker.ts", "TypeScript", 102, 0, 0, 0, 0, 0, 0, 0, 31, 14, 147
"/Users/eliaswambugu/Documents/projects/dashboard/bettrdash-test/apps/desktop/src/setupTests.ts", "TypeScript", 1, 0, 0, 0, 0, 0, 0, 0, 4, 1, 6
"/Users/eliaswambugu/Documents/projects/dashboard/bettrdash-test/apps/desktop/src/test-utils.tsx", "TypeScript React", 0, 0, 0, 9, 0, 0, 0, 0, 0, 4, 13
"/Users/eliaswambugu/Documents/projects/dashboard/bettrdash-test/apps/desktop/src/utils/history.ts", "TypeScript", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
"/Users/eliaswambugu/Documents/projects/dashboard/bettrdash-test/apps/desktop/src/utils/theme.ts", "TypeScript", 7, 0, 0, 0, 0, 0, 0, 0, 2, 4, 13
"/Users/eliaswambugu/Documents/projects/dashboard/bettrdash-test/apps/desktop/src/utils/types.d.ts", "TypeScript", 17, 0, 0, 0, 0, 0, 0, 0, 0, 2, 19
"/Users/eliaswambugu/Documents/projects/dashboard/bettrdash-test/apps/desktop/tsconfig.json", "JSON with Comments", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 5
